INDEX,SUB_CODE,SUB_NAME
S1,15MAT11,ENGINEERING MATHS 1
S2,15PHY12,ENGINEERING PHYSICS
S3,15CIV13,ELEMENTS OF CIVIL ENGINEERING AND MECHANICS
S4,15CIV14,ELEMENTS OF MECHANICAL ENGINEERING
S5,15ELE15,BASIC ELECTRICAL ENGINEERING
S6,15CPH18,CONSTITUTION OF INDIA PROFESSIONAL ETHICS& HUMAN RIGHTS
S7,15WSL16,WORKSHOP PRACTICE
S8,15PHL17,ENGINEERING PHYSICS LAB
