
INDEX,SUB_CODE,SUB_NAME
S1,15CS61,Cryptography, Network Security and Cyber Law
S2,15CS62,File Structures
S3,15CS63,Software Testing
S4,15CS64,Operating Systems
S5,15ISL67,Software Testing Laboratory
S6,15ISL68,File Structures Laboratory with mini project
S7,15CS651,Data Mining and Data Warehousing
S8,15CS653,Operation research
