INDEX,SUB_CODE,SUB_NAME
S1,15CS51,Management and Entrepreneurship for IT industry
S2,15CS52,Computer Networks
S3,15CS53,Database Management System
S4,15CS54,Automata theory and Computability
S5,15CSL57,Computer Network Laboratory
S6,15CSL58,DBMS Laboratory with mini project
S7,15CS564,Dot Net Frame work for Application Development
S8,15CS565,Cloud Computing
