INDEX,SUB_CODE,SUB_NAME
S1,15MAT21,Engineering Maths-II
S2,15CHE22,Engineering Chemistry
S3,15PCD23,Programming in C & Data Structures
S4,15CED24,Computer Aided Engineering Drawing
S5,15ELN25,Basic Electronics
S6,15CPL26,Computer Programming Lab
S7,15CHEL27,Engg. Chemistry Lab
S8,15CIV28,Environmental Studies
