INDEX,SUB_CODE,SUB_NAME
S1,15MAT41,Engineering Maths-IV
S2,15CS42,Software Engineering
S3,15CS43,Design and Analysis of Algorithms
S4,15CS44,Microprocessors and microcontrollers
S5,15CS45,Object Oriented Programming with JAVA
S6,15CS46,Data communications
S7,15CSL47,Design and Analysis of Algorithm Laboratory
S8,15CSL48,Microprocessors Laboratory
