INDEX,SUB_CODE,SUB_NAME
S1,15CS71,Web Technology and its applications
S2,15IS72,Software Architecture and Design Patterns
S3,15CS73,Machine Learning
S4,15CS741,Natural Language Processing
S5,15CS742,Cloud Computing and its Application
S6,15CS743,Information and Network Security
S7,15CS744,Unix System Programming
S8,15CS751,Soft and Evolutionary Computing
