INDEX,SUB_CODE,SUB_NAME
S1,15CS81,Internet of things and applications
S2,15CS82,Big Data Analytics
S3,15CS831,High Performance Computing
S4,15CS832,User Interface Design
S5,15IS833,Virtual Reality
S6,15CS834,System Simulation and Modeling
S7,15IS84,Internship / Professional Practice
S8,15ISS86,Seminar
