INDEX,SUB_CODE,SUB_NAME
S1,15MAT31,Engineering Maths-III
S2,15CS32,Analog and Digital Electronics
S3,15CS33,Data Structures and Applications
S4,15CS34,Computer Organization
S5,15CS35,Unix and Shell Programming
S6,15CS36,Discrete Mathematical structures
S7,15CSL37,Analog and Digital Electronics Laboratory
S8,15CSL38,Data Structures Laboratory
